NAME,QTY
Кабель LANBERG PCU5-10CC-2000-BK UTP PATCHCORD CAT5E 20M BLACK,1
Кабель LANBERG PCU5-20CC-0050-BK UTP PATCHCORD CAT5E 0.5M BLACK,6
Кабель LANBERG PCU6-10CC-0050-BK UTP PATCHCORD CAT.6 0.5M Black,9
Кабель Lightwave LW CAT6 UTP 305m,4
"Кабель Natec Prati NKA-1202 3-in-1 (Micro USB(M)+Lightning(M)+USB-C(M), 1m)",5
"Кабель Ugreen 10129 HDMI-HDMI V1.4 (4K60Hz, 2m, Black/Yellow)",9
"Кабель Ugreen 10306 (USB-C(M) to USB-C(M), 2m, Black)",2
"Кабель Ugreen 10309 (USB 2.0(M) to USB 2.0(M), 1m, Black)",6
"Кабель Ugreen 10355 (USB 2.0 A(M) to Mini USB(M), 1m, Black)",8
"Кабель Ugreen 10840 (USB 3.0 A(M) to Micro USB 3.0(F), 0.5m, 5GB/s, Black)",5
"Кабель Ugreen 15384 DP-DP V2.0 (16K@30Hz, 8K@240Hz, 2m, Black)",10
Кабель Ugreen 20816 3.5mm Male to 2 Female Audio Cable 20cm,2
"Кабель Ugreen 20856 (USB-C(M) to USB 3.0(M), 1m, Space Grey)",1
"Кабель Ugreen 50363 (3.5mm(M) to 3.5mm(M), 2m, Black)",3
"Кабель Ugreen 50997 (USB-C(M) to USB-C(M), 1m, 60W, Black)",2
"Кабель Ugreen 60136 (USB-A(M) to Micro USB(M), 1m, 18W, Black)",9
"Кабель Ugreen 60137 (USB-A(M) to Micro USB(M), 1.5m, 18W, Black)",10
"Кабель Ugreen 60138 (USB-A(M) to Micro USB(M), 2m, 18W, Black)",3
"Кабель Ugreen 60146 (USB-A(M) to Micro USB(M), 1m, Aluminium, 18W, Black)",5
"Кабель Ugreen 80390 DP-DP V1.4 (FHD240Hz, 2K165Hz, 4K144Hz, 8K60Hz, 1m, Black)",2
"Кабель Ugreen 80392 DP-DP V1.4 (FHD240Hz, 2K165Hz, 4K144Hz, 8K60Hz, 2m, Black)",1
"Кабель Ugreen 80394 DP-DP V1.4 (FHD240Hz, 2K165Hz, 4K144Hz, 8K60Hz, 5m, Black)",5
"Кабель питания Gembird PC-184/2-1.8m (Radio, Schuko, 1.8m, Black)",6
"Кабель питания Gembird PC-184/2-1m (Radio, Schuko, 1m, Black)",25
"Кабель питания для ноутбука (Power Cord for Laptop, Schuko-C5, 1.8m, Black)",40
Кабельный органайзер Ugreen 50320 (Black),6
Карта памяти Micro SD Card PATRIOT 128GB PSF128GMDC10 LX Series UHS-I (Class 10),5
Карта памяти Micro SD Card PATRIOT 256GB PEF256GEP31MCX EP SDXC V30 (Class 10),4
Карта памяти Micro SD Card PATRIOT 256GB PSF256GLX11MCX (Class 10),1
Карта памяти Micro SD Card PATRIOT 32GB PSF32GMDC10 LX Series UHS-I (Class 10),3
Карта памяти Micro SD Card PATRIOT 512GB PEF512GEP31MCX EP SDXC V30 (Class 10),14
Карта памяти Micro SD Card PATRIOT 64GB PEF64GEP31MCX EP SDXC V30 (Class 10),4
Карта памяти Micro SD Card PATRIOT 64GB PSF64GMDC10 LX Series UHS-I (Class 10),16
Карта памяти Micro SD Samsung EVO Plus 64GB MB-MC64KA/EU (Class 10),1
"Карта памяти Micro SD Samsung EVO Plus 64GB MB-MC64SA/EU (w/Adapter, Class 10)",1
"Карта памяти SD Card Kingston 256GB Canvas Select Plus (SDXC, UHS-I, Class 10)",1
"Карта памяти SD Card Kingston 512GB Canvas Select Plus (SDXC, UHS-I, Class 10)",1
Карта памяти SD Card PATRIOT 16GB PIF16GSHC10 INSTA UHS-I (Class 10),1
"Карт-ридер Acorp CRIP200-B (USB 2.0, Internal, Black)",3
"Карт-ридер Rocketek ID Card Reader (USB 2.0, Black)",2
"Карт-ридер Ugreen 30333 (USB 3.0, TF/SD/MS/CF 3.0, 50cm, Black)",8
"Карт-ридер Ugreen 35622 (USB-C, TF/SD/MS, Black)",5
"Карт-ридер Ugreen 45167 (2xUSB 3.0, TF/SD/MS, Black)",2
"Карт-ридер Ugreen 50541 (USB 3.0, TF/SD/MS/CF)",5
"Карт-ридер Ugreen 60722 (USB 3.0, TF/SD)",7
"Карт-ридер Ugreen 80798 (USB-C, TF/SD/USB 2.0, Black)",1
"Картридж HP 305XL 3YM63AE (Color, 200pages, 5ml, For DeskJet 2320/2710/2720)",1
"Клавиатура A4 Bloody Q100 (Multimedia, Gaming, Black, USB)",2
"Клавиатура A4Tech Bloody B120N (Multimedia, Gaming, Black, USB)",2
"Клавиатура A4Tech Bloody B150N (Gaming, Backlight, Black, USB)",2
"Клавиатура A4Tech Bloody B314 (Multimedia, Gaming, Black, USB)",2
"Клавиатура CrownMicro CMGK-902, Gaming (USB)",1
Клавиатура CrownMicro CMK-157T (USB),7
Клавиатура CrownMicro CMK-F02B (USB),5
"Клавиатура Fury NFU-1697 SkyRaider, Backlight, Gaming (USB, US Layout)",1
"Клавиатура Genesis NKG-0939 RHOD 110, Backlight, Gaming (USB, US LAYOUT)",1
"Клавиатура Genesis NKG-1419 LITH 400 RGB X-SCISSOR SLIM, Backlight, Gaming (USB)",1
