Supplier,Source,Brand,Category,Model,Product Name,Price,Currency,Stock,MOQ,Warranty,Notes,Date Added
Proks SIA,Price List,,General,100-100001904WOF,AMD Ryzen 7 7500X3D WOF,196.0,USD,50,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST4000VN006,Seagate IronWolf 4TB; SATA 6Gb/s; 5400; 256MB; 3.5,155.8,USD,50,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST12000NT001,Seagate IronWolf Pro 12TB; SATA 6Gb/s; 256MB; 3.5,401.4,USD,24,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST2000VX017,Seagate SkyHawk. 2TB. SATA 6Gb/s. 256MB. Air. 3.5,114.3,USD,25,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST16000VE004,Seagate SkyHawk AI. 16TB. SATA 6Gb/s. 512MB. 3.5. Helium. 285Mbs,489.9,USD,25,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WD100EFGX,WD Red Plus. 3.5''. 10TB. SATA/600. 7200RPM. 512MB. Air. NAS,304.0,USD,40,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WD33PURZ,WD Purple. 3.5. 3TB. SATA/600. 256MB. Air. 180MB/s,135.8,USD,23,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WD122PURP,WD Purple Pro. 3.5. 12TB. SATA/600. 7200RPM. 512MB. Helium,347.7,USD,40,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,STJL2000400,Seagate Basic 2TB; 2.5; USB 3.0; Black,92.0,USD,50,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,PN,SAMSUNG SSD,0.0,USD,0,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-77E250B/EU,Samsung SSD 870 EVO 2.5'' 250GB 560/530 MB/s,125.7,USD,120,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-77E500B/EU,Samsung SSD 870 EVO 2.5'' 500GB 560/530 MB/s,173.5,USD,50,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-77E1T0B/EU,Samsung SSD 870 EVO 2.5'' 1TB 560/530 MB/s,230.2,USD,30,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-77E2T0B/EU,Samsung SSD 870 EVO 2.5'' 2TB 560/530 MB/s,351.8,USD,50,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-77E4T0B/EU,Samsung SSD 870 EVO 2.5'' 4TB 560/530 MB/s,577.3,USD,42,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-V8V250BW,Samsung SSD 980 250GB M.2 PCIe 3.0 (NVMe) 3500/3000 MB/s,120.4,USD,58,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-V8V500BW,Samsung SSD 980 500GB M.2 PCIe 3.0 (NVMe) 3500/3000 MB/s,160.2,USD,240,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-V9S1T0BW,Samsung SSD 990 EVO Plus 1TB PCIe 4.0 (NVMe),208.9,USD,120,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-V9S2T0BW,Samsung SSD 990 EVO Plus 2TB PCIe 4.0 (NVMe),292.8,USD,10,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-V9S4T0BW,Samsung SSD 990 EVO Plus 4TB PCIe 4.0 (NVMe),507.6,USD,34,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-V9P1T0BW,Samsung SSD 990 PRO 1TB PCIe 4.0 (NVMe) R7450/W6900 MB/s,217.2,USD,131,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-V9P2T0BW,Samsung SSD 990 PRO 2TB PCIe 4.0 (NVMe) R7450/W6900 MB/s,334.1,USD,213,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-V9P4T0BW,Samsung SSD 990 PRO 4TB PCIe 4.0 (NVMe) R7450/W6900 MB/s,641.0,USD,144,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-V9P1T0CW,Samsung SSD 990 PRO 1TB PCIe 4.0 (NVMe) R7450/W6900 MB/s w/ Heatsink (Black box),218.4,USD,30,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-V9P2T0CW,Samsung SSD 990 PRO 2TB PCIe 4.0 (NVMe) R7450/W6900 MB/s w/ Heatsink (Black box),324.6,USD,125,NO,,Price DAP EU,02/03/2026
