Supplier,Category,Brand,Model,Name,Price,Currency,Stock,MOQ,Notes
PHONIX,Laptops,LENOVO,21SBS2C900,LENOVO THINKPAD L16 G2 INTEL CORE ULTRA 5 225U 512GB SSD 8GB DDR5 INTEGRATED INTEL GRAPHICS 16 WUXGA (1920X1200) FREEDOS COLOR BLACK,687.0,USD,985,0,MOQ 0 | ETA 5 | Conditions NEW
PHONIX,Laptops,LENOVO,21SA002SUS,LENOVO THINKPAD L16 G2 INTEL CORE ULTRA 5 225U UP TO 3.80 GHZ 512GB SSD 16GB DDR5 INTEL GRAPHICS 16 WUXGA (1920X1200) WINDOWS 11 PRO COLOR BLACK,755.99,USD,100,10,MOQ 10 | ETA 7 | Conditions NEW
PHONIX,Laptops,LENOVO,21G20024US-R,LENOVO THINKPAD P14S GEN 5 INTEL CORE ULTRA 5 135H UP TO 4.6GHZ 1TB SSD 32GB DDR5 NVIDIA RTX 500 ADA GENERATION 4GB 14.5 WQXGA (2560X1600) WINDOWS 11 PRO COLOR BLACK. OFF LEASE REFURBISHED THIS PRODUCT MAY SHOW SLIGHT SIGNS OF USE VARIATIONS IN PACKAGING AND ACCESSORIES,1236.24,USD,1,1,MOQ 1 | ETA 8 | Conditions REFURBISHED
PHONIX,Laptops,LENOVO,21SK00FVUS,LENOVO THINKBOOK 16 G8 INTEL CORE ULTRA 5-225U 1TB SSD 16GB RAM 16 FULL HD (1920X1080) WINDOWS 11 COLOR NATURAL SILVER,756.49,USD,90,1,MOQ 1 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,21KDSN1V00,LENOVO THINKPAD X1 CARBON GEN 12 INTEL CORE ULTRA 5 125U 512GB SSD 16GB DDR5 14 WUXGA (1920X1200) FREEDOS COLOR BLACK,987.0,USD,481,0,MOQ 0 | ETA 5 | Conditions NEW
PHONIX,Laptops,LENOVO,83DL0002US,LENOVO YOGA 7 16IML9 2 IN 1 INTEL CORE ULTRA 7 155U UP TO 4.8GHZ 1TB SSD 16GB DDR5 INTEL GRAPHICS 16 WUXGA (1920X1200) TOUCHSCREEN WINDOWS 11 COLOR STORM GREY,702.99,USD,77,5,MOQ 5 | ETA 5 | Conditions NEW
PHONIX,Laptops,LENOVO,21KC00A7US,LENOVO THINKPAD X1 CARBON GEN 12 INTEL CORE ULTRA 7 155U UP TO 4.8GHZ 512GB SSD 32GB DDR5 INTEGRATED INTEL GRAPHICS 14 WUXGA (1920X1200) TOUCHSCREEN WINDOWS 11 PRO COLOR BLACK,1342.29,USD,42,1,MOQ 1 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,21KC00B1US,LENOVO THINKPAD X1 CARBON G12 INTEL CORE ULTRA 7 165U UP TO 4.9GHZ 512GB SSD 32GB DDR5 INTEL GRAPHICS 14 WUXGA (1920 X 1200) TOUCHSCREEN WINDOWS 11 PRO COLOR BLACK,1396.99,USD,25,5,MOQ 5 | ETA 7 | Conditions NEW
PHONIX,Laptops,LENOVO,21LS0058US,LENOVO THINKPAD T14S G5 INTEL CORE ULTRA 7 155U UP TO 4.8GHZ 512GB SSD 16GB DDR5 INTEL GRAPHICS 14 WUXGA (1920 X 1200) WINDOWS 11 PRO COLOR SILVER,967.58,USD,45,1,MOQ 1 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,21KS0023US,LENOVO THINKPAD P16S G3 INTEL CORE ULTRA 7-155H UP TO 4.8GHZ 512GB SSD 16GB DDR5 NVIDIA RTX 500 ADA 4GB 16 WUXGA (1920 X 1200) TOUCHSCREEN WINDOWS 11 PRO COLOR BLACK,1392.79,USD,135,1,MOQ 1 | ETA 8 | Conditions NEW
